step,actic loss,critic loss,average distance,time
1320,-4.3351,2.6166,7.4828,0min6sec
1330,-4.3036,2.5988,7.4610,0min6sec
1340,-4.2746,2.5814,7.4399,0min6sec
1350,-4.2440,2.5646,7.4192,0min6sec
1360,-4.2120,2.5490,7.3997,0min6sec
1370,-4.1882,2.5330,7.3795,0min6sec
1380,-4.1601,2.5172,7.3599,0min6sec
1390,-4.1326,2.5011,7.3398,0min6sec
1400,-4.1008,2.4856,7.3199,0min6sec
1410,-4.0700,2.4704,7.3000,0min6sec
1420,-4.0447,2.4550,7.2799,0min6sec
1430,-4.0187,2.4396,7.2603,0min6sec
1440,-3.9910,2.4248,7.2418,0min6sec
1450,-3.9643,2.4097,7.2227,0min6sec
1460,-3.9382,2.3947,7.2038,0min6sec
1470,-3.9117,2.3800,7.1850,0min6sec
1480,-3.8877,2.3656,7.1663,0min6sec
1490,-3.8633,2.3511,7.1477,0min6sec
1500,-3.8375,2.3368,7.1295,0min6sec
1510,-3.8140,2.3228,7.1116,0min6sec
1520,-3.7899,2.3089,7.0937,0min6sec
1530,-3.7658,2.2953,7.0762,0min6sec
1540,-3.7427,2.2818,7.0589,0min6sec
1550,-3.7207,2.2686,7.0419,0min6sec
1560,-3.6973,2.2556,7.0252,0min6sec
1570,-3.6750,2.2427,7.0085,0min6sec
1580,-3.6528,2.2299,6.9920,0min6sec
1590,-3.6306,2.2175,6.9768,0min6sec
1600,-3.6095,2.2053,6.9612,0min6sec
1610,-3.5884,2.1932,6.9459,0min6sec
1620,-3.5666,2.1811,6.9304,0min6sec
1630,-3.5453,2.1693,6.9154,0min6sec
1640,-3.5247,2.1575,6.9001,0min6sec
1650,-3.5045,2.1458,6.8850,0min6sec
1660,-3.4842,2.1344,6.8704,0min6sec
1670,-3.4671,2.1238,6.8570,0min6sec
1680,-3.4465,2.1130,6.8436,0min6sec
1690,-3.4278,2.1019,6.8291,0min6sec
1700,-3.4089,2.0910,6.8154,0min6sec
1710,-3.3896,2.0803,6.8021,0min6sec
1720,-3.3704,2.0696,6.7886,0min6sec
1730,-3.3514,2.0589,6.7747,0min6sec
1740,-3.3330,2.0482,6.7608,0min6sec
1750,-3.3140,2.0377,6.7470,0min6sec
1760,-3.2968,2.0272,6.7333,0min6sec
1770,-3.2789,2.0168,6.7198,0min6sec
1780,-3.2615,2.0067,6.7067,0min6sec
1790,-3.2440,1.9967,6.6939,0min6sec
1800,-3.2269,1.9869,6.6812,0min6sec
1810,-3.2098,1.9771,6.6686,0min6sec
1820,-3.1925,1.9674,6.6561,0min6sec
1830,-3.1759,1.9578,6.6435,0min6sec
1840,-3.1593,1.9485,6.6316,0min6sec
1850,-3.1429,1.9392,6.6201,0min6sec
1860,-3.1265,1.9302,6.6088,0min6sec
1870,-3.1107,1.9212,6.5974,0min6sec
1880,-3.0957,1.9124,6.5864,0min6sec
1890,-3.0776,1.9049,6.5771,0min6sec
1900,-3.0667,1.8971,6.5672,0min6sec
1910,-3.0488,1.8893,6.5575,0min6sec
1920,-3.0323,1.8814,6.5480,0min6sec
1930,-3.0187,1.8730,6.5371,0min6sec
1940,-3.0026,1.8651,6.5276,0min6sec
1950,-2.9892,1.8568,6.5168,0min6sec
1960,-2.9740,1.8484,6.5059,0min6sec
1970,-2.9595,1.8400,6.4949,0min6sec
1980,-2.9453,1.8317,6.4840,0min6sec
1990,-2.9310,1.8234,6.4731,0min6sec
2000,-2.9168,1.8152,6.4621,0min6sec
2010,-2.9025,1.8071,6.4512,0min6sec
2020,-2.8887,1.7991,6.4405,0min6sec
2030,-2.8751,1.7912,6.4302,0min6sec
2040,-2.8614,1.7834,6.4197,0min6sec
2050,-2.8483,1.7756,6.4092,0min6sec
2060,-2.8348,1.7682,6.3994,0min6sec
2070,-2.8213,1.7606,6.3892,0min6sec
2080,-2.8081,1.7531,6.3792,0min6sec
2090,-2.7953,1.7456,6.3693,0min6sec
2100,-2.7826,1.7382,6.3595,0min6sec
2110,-2.7700,1.7311,6.3506,0min6sec
2120,-2.7577,1.7242,6.3418,0min6sec
2130,-2.7452,1.7171,6.3325,0min6sec
2140,-2.7327,1.7099,6.3230,0min6sec
2150,-2.7205,1.7028,6.3135,0min6sec
2160,-2.7083,1.6958,6.3043,0min6sec
2170,-2.6962,1.6888,6.2952,0min6sec
2180,-2.6845,1.6819,6.2861,0min6sec
2190,-2.6727,1.6750,6.2771,0min6sec
2200,-2.6613,1.6683,6.2680,0min6sec
2210,-2.6493,1.6616,6.2590,0min6sec
2220,-2.6381,1.6549,6.2501,0min6sec
2230,-2.6269,1.6484,6.2415,0min6sec
2240,-2.6159,1.6421,6.2334,0min6sec
2250,-2.6048,1.6361,6.2256,0min6sec
2260,-2.5940,1.6297,6.2173,0min6sec
2270,-2.5829,1.6234,6.2089,0min6sec
2280,-2.5719,1.6170,6.2005,0min6sec
2290,-2.5614,1.6108,6.1922,0min6sec
2300,-2.5505,1.6048,6.1844,0min6sec
2310,-2.5401,1.5995,6.1776,0min6sec
2320,-2.5306,1.5939,6.1705,0min6sec
2330,-2.5207,1.5880,6.1628,0min6sec
2340,-2.5103,1.5820,6.1549,0min6sec
2350,-2.5000,1.5761,6.1470,0min6sec
2360,-2.4897,1.5703,6.1394,0min6sec
2370,-2.4797,1.5646,6.1320,0min6sec
2380,-2.4697,1.5590,6.1246,0min6sec
2390,-2.4594,1.5533,6.1170,0min6sec
2400,-2.4495,1.5475,6.1094,0min6sec
2410,-2.4396,1.5419,6.1020,0min6sec
2420,-2.4298,1.5364,6.0946,0min6sec
2430,-2.4201,1.5310,6.0881,0min6sec
2440,-2.4109,1.5261,6.0830,0min6sec
2450,-2.4025,1.5216,6.0782,0min6sec
2460,-2.3921,1.5180,6.0744,0min6sec
2470,-2.3853,1.5141,6.0702,0min6sec
2480,-2.3773,1.5093,6.0649,0min6sec
2490,-2.3688,1.5043,6.0589,0min6sec
2500,-2.3599,1.4991,6.0521,0min6sec
2510,-2.3512,1.4939,6.0450,0min6sec
2520,-2.3419,1.4887,6.0381,0min6sec
2530,-2.3333,1.4837,6.0315,0min6sec
2540,-2.3244,1.4786,6.0246,0min6sec
2550,-2.3160,1.4736,6.0179,0min6sec
2560,-2.3076,1.4686,6.0112,0min6sec
2570,-2.2987,1.4637,6.0047,0min6sec
2580,-2.2902,1.4589,5.9982,0min6sec
2590,-2.2817,1.4540,5.9917,0min6sec
2600,-2.2733,1.4491,5.9851,0min6sec
2610,-2.2648,1.4443,5.9786,0min6sec
2620,-2.2565,1.4395,5.9722,0min6sec
2630,-2.2484,1.4348,5.9661,0min6sec
2640,-2.2402,1.4302,5.9601,0min6sec
2650,-2.2324,1.4256,5.9539,0min6sec
2660,-2.2243,1.4210,5.9476,0min6sec
2670,-2.2163,1.4164,5.9414,0min6sec
2680,-2.2085,1.4118,5.9352,0min6sec
2690,-2.2006,1.4072,5.9291,0min6sec
2700,-2.1928,1.4028,5.9232,0min6sec
2710,-2.1851,1.3984,5.9175,0min6sec
2720,-2.1774,1.3940,5.9118,0min6sec
2730,-2.1699,1.3896,5.9059,0min6sec
2740,-2.1621,1.3852,5.9000,0min6sec
2750,-2.1547,1.3809,5.8940,0min6sec
2760,-2.1473,1.3765,5.8881,0min6sec
2770,-2.1398,1.3722,5.8822,0min6sec
2780,-2.1325,1.3678,5.8764,0min6sec
2790,-2.1252,1.3636,5.8705,0min6sec
2800,-2.1179,1.3593,5.8647,0min6sec
2810,-2.1106,1.3552,5.8590,0min6sec
2820,-2.1036,1.3511,5.8536,0min6sec
2830,-2.0966,1.3471,5.8488,0min6sec
2840,-2.0898,1.3433,5.8442,0min6sec
2850,-2.0827,1.3393,5.8388,0min6sec
2860,-2.0758,1.3353,5.8334,0min6sec
2870,-2.0690,1.3314,5.8282,0min6sec
2880,-2.0619,1.3274,5.8228,0min6sec
2890,-2.0554,1.3235,5.8174,0min6sec
2900,-2.0486,1.3196,5.8121,0min6sec
2910,-2.0418,1.3157,5.8071,0min6sec
2920,-2.0352,1.3118,5.8019,0min6sec
2930,-2.0285,1.3079,5.7966,0min6sec
2940,-2.0219,1.3041,5.7913,0min6sec
2950,-2.0153,1.3003,5.7863,0min6sec
2960,-2.0087,1.2965,5.7811,0min6sec
2970,-2.0023,1.2927,5.7760,0min6sec
2980,-1.9959,1.2889,5.7709,0min6sec
2990,-1.9894,1.2852,5.7659,0min6sec
3000,-1.9831,1.2815,5.7609,0min6sec
3010,-1.9768,1.2778,5.7560,0min6sec
3020,-1.9704,1.2742,5.7511,0min6sec
3030,-1.9642,1.2706,5.7462,0min6sec
3040,-1.9581,1.2670,5.7415,0min6sec
3050,-1.9520,1.2636,5.7367,0min6sec
3060,-1.9458,1.2604,5.7325,0min6sec
3070,-1.9396,1.2572,5.7282,0min6sec
3080,-1.9334,1.2539,5.7241,0min6sec
3090,-1.9277,1.2506,5.7198,0min6sec
3100,-1.9217,1.2473,5.7156,0min6sec
3110,-1.9159,1.2439,5.7114,0min6sec
3120,-1.9101,1.2406,5.7070,0min6sec
3130,-1.9044,1.2372,5.7026,0min6sec
3140,-1.8986,1.2338,5.6981,0min6sec
3150,-1.8932,1.2306,5.6939,0min6sec
3160,-1.8874,1.2273,5.6896,0min6sec
3170,-1.8819,1.2240,5.6851,0min6sec
3180,-1.8761,1.2206,5.6805,0min6sec
3190,-1.8706,1.2173,5.6760,0min6sec
3200,-1.8650,1.2141,5.6716,0min6sec
3210,-1.8593,1.2109,5.6673,0min6sec
3220,-1.8538,1.2077,5.6629,0min6sec
3230,-1.8482,1.2044,5.6585,0min6sec
3240,-1.8430,1.2012,5.6542,0min6sec
3250,-1.8377,1.1981,5.6502,0min6sec
3260,-1.8321,1.1950,5.6463,0min6sec
3270,-1.8268,1.1919,5.6422,0min6sec
3280,-1.8216,1.1888,5.6378,0min6sec
3290,-1.8163,1.1856,5.6335,0min6sec
3300,-1.8112,1.1825,5.6293,0min6sec
3310,-1.8060,1.1795,5.6253,0min6sec
3320,-1.8008,1.1765,5.6215,0min6sec
3330,-1.7956,1.1735,5.6176,0min6sec
3340,-1.7906,1.1706,5.6139,0min6sec
3350,-1.7857,1.1677,5.6103,0min6sec
3360,-1.7806,1.1647,5.6064,0min6sec
3370,-1.7755,1.1617,5.6025,0min6sec
3380,-1.7705,1.1588,5.5984,0min6sec
3390,-1.7657,1.1559,5.5947,0min6sec
3400,-1.7607,1.1531,5.5911,0min6sec
3410,-1.7560,1.1503,5.5878,0min6sec
3420,-1.7514,1.1476,5.5846,0min6sec
3430,-1.7472,1.1449,5.5812,0min6sec
3440,-1.7423,1.1424,5.5781,0min6sec
3450,-1.7376,1.1397,5.5746,0min6sec
3460,-1.7329,1.1369,5.5707,0min6sec
3470,-1.7281,1.1341,5.5669,0min6sec
3480,-1.7235,1.1313,5.5631,0min6sec
3490,-1.7189,1.1287,5.5598,0min6sec
3500,-1.7143,1.1260,5.5567,0min6sec
3510,-1.7099,1.1234,5.5533,0min6sec
3520,-1.7052,1.1208,5.5498,0min6sec
3530,-1.7008,1.1181,5.5463,0min6sec
3540,-1.6961,1.1154,5.5428,0min6sec
3550,-1.6916,1.1128,5.5393,0min6sec
3560,-1.6870,1.1101,5.5358,0min6sec
3570,-1.6826,1.1075,5.5323,0min6sec
3580,-1.6782,1.1049,5.5289,0min6sec
3590,-1.6738,1.1023,5.5256,0min6sec
3600,-1.6693,1.0998,5.5223,0min6sec
3610,-1.6649,1.0972,5.5190,0min6sec
3620,-1.6606,1.0946,5.5155,0min6sec
3630,-1.6561,1.0920,5.5121,0min6sec
3640,-1.6516,1.0895,5.5087,0min6sec
3650,-1.6474,1.0869,5.5053,0min6sec
3660,-1.6432,1.0845,5.5022,0min6sec
3670,-1.6390,1.0820,5.4990,0min6sec
3680,-1.6347,1.0795,5.4958,0min6sec
3690,-1.6305,1.0771,5.4925,0min6sec
3700,-1.6263,1.0746,5.4892,0min6sec
3710,-1.6221,1.0722,5.4858,0min6sec
3720,-1.6180,1.0697,5.4825,0min6sec
3730,-1.6139,1.0673,5.4794,0min6sec
