step,actic loss,critic loss,average distance,time
10,-432.5479,106.2255,10.3960,0min5sec
20,-343.0448,77.7973,10.3945,0min5sec
30,-189.6219,56.6333,10.3711,0min5sec
40,-146.1900,43.3162,10.2365,0min5sec
50,-115.3231,35.1526,9.8785,0min5sec
60,-96.8910,29.5931,9.5193,0min5sec
70,-83.2591,25.6028,9.2475,0min5sec
80,-72.8730,22.5966,9.0507,0min5sec
90,-64.9146,20.2459,8.8892,0min5sec
100,-58.5367,18.3611,8.7569,0min5sec
110,-53.2218,16.8155,8.6528,0min5sec
120,-48.8171,15.5268,8.5653,0min5sec
130,-45.0889,14.4343,8.4920,0min5sec
140,-41.8793,13.4992,8.4258,0min5sec
150,-39.1233,12.6870,8.3718,0min5sec
160,-36.6891,11.9745,8.3224,0min5sec
170,-34.5391,11.3473,8.2770,0min5sec
180,-32.6524,10.7879,8.2360,0min5sec
190,-30.9207,10.2874,8.1981,0min5sec
200,-29.3907,9.8345,8.1634,0min5sec
210,-28.0092,9.4265,8.1310,0min5sec
220,-26.7848,9.0559,8.1014,0min5sec
230,-25.6189,8.7199,8.0758,0min5sec
240,-24.5400,8.4107,8.0516,0min5sec
250,-23.5624,8.1247,8.0282,0min5sec
260,-22.6798,7.8609,8.0079,0min5sec
270,-21.8224,7.6191,7.9892,0min5sec
280,-21.0405,7.3913,7.9713,0min5sec
290,-20.3275,7.1806,7.9535,0min5sec
300,-19.6662,6.9899,7.9373,0min5sec
310,-19.0330,6.8078,7.9229,0min5sec
320,-18.4470,6.6353,7.9099,0min5sec
330,-17.8893,6.4739,7.8964,0min5sec
340,-17.3671,6.3202,7.8835,0min5sec
350,-16.8730,6.1754,7.8711,0min5sec
360,-16.4000,6.0378,7.8595,0min5sec
370,-15.9576,5.9078,7.8475,0min5sec
380,-15.5444,5.7843,7.8362,0min5sec
390,-15.1440,5.6675,7.8256,0min5sec
400,-14.7642,5.5586,7.8149,0min5sec
410,-14.4017,5.4535,7.8053,0min5sec
420,-14.0640,5.3528,7.7986,0min5sec
430,-13.7432,5.2559,7.7895,0min5sec
440,-13.4341,5.1626,7.7790,0min5sec
450,-13.1316,5.0733,7.7676,0min5sec
460,-12.8410,4.9885,7.7538,0min5sec
470,-12.5829,4.9105,7.7389,0min5sec
480,-12.3254,4.8334,7.7231,0min5sec
490,-12.0830,4.7618,7.7067,0min5sec
500,-11.8357,4.6887,7.6889,0min5sec
510,-11.6028,4.6179,7.6709,0min5sec
520,-11.3841,4.5490,7.6543,0min5sec
530,-11.1686,4.4830,7.6371,0min5sec
540,-10.9687,4.4193,7.6195,0min5sec
550,-10.7696,4.3586,7.6023,0min5sec
560,-10.5820,4.2988,7.5855,0min5sec
570,-10.3990,4.2407,7.5681,0min5sec
580,-10.2208,4.1851,7.5509,0min5sec
590,-10.0477,4.1313,7.5343,0min5sec
600,-9.8865,4.0781,7.5168,0min5sec
610,-9.7277,4.0259,7.4988,0min5sec
620,-9.5677,3.9756,7.4795,0min5sec
630,-9.4174,3.9253,7.4589,0min5sec
640,-9.2648,3.8759,7.4364,0min5sec
650,-9.1243,3.8301,7.4130,0min5sec
660,-8.9851,3.7839,7.3907,0min5sec
670,-8.8540,3.7386,7.3680,0min5sec
680,-8.7094,3.6981,7.3457,0min5sec
690,-8.6702,3.6680,7.3277,0min5sec
700,-8.5181,3.6343,7.3024,0min5sec
710,-8.4139,3.5931,7.2776,0min5sec
720,-8.3022,3.5503,7.2512,0min5sec
730,-8.1911,3.5104,7.2278,0min5sec
740,-8.0840,3.4694,7.2014,0min5sec
750,-7.9805,3.4294,7.1751,0min5sec
760,-7.8911,3.3916,7.1493,0min5sec
770,-7.7883,3.3580,7.1297,0min5sec
780,-7.7199,3.3354,7.1181,0min5sec
790,-7.6092,3.3078,7.1041,0min5sec
800,-7.5137,3.2755,7.0867,0min5sec
810,-7.4238,3.2420,7.0641,0min5sec
820,-7.3385,3.2103,7.0409,0min5sec
830,-7.2605,3.1771,7.0158,0min5sec
840,-7.2131,3.1516,7.0003,0min5sec
850,-7.1445,3.1284,6.9909,0min5sec
860,-7.0661,3.0977,6.9696,0min5sec
870,-6.9940,3.0672,6.9471,0min5sec
880,-6.9210,3.0404,6.9303,0min5sec
890,-6.8505,3.0116,6.9102,0min5sec
900,-6.7737,2.9826,6.8885,0min5sec
910,-6.7057,2.9563,6.8721,0min5sec
920,-6.6360,2.9310,6.8583,0min5sec
930,-6.5712,2.9044,6.8408,0min5sec
940,-6.5128,2.8815,6.8303,0min5sec
950,-6.4217,2.8622,6.8183,0min5sec
960,-6.3541,2.8378,6.8021,0min5sec
970,-6.2984,2.8151,6.7897,0min5sec
980,-6.2276,2.7936,6.7737,0min5sec
990,-6.1601,2.7736,6.7585,0min5sec
1000,-6.1023,2.7513,6.7414,0min5sec
1010,-6.0420,2.7282,6.7249,0min5sec
1020,-5.9876,2.7069,6.7129,0min5sec
1030,-5.9312,2.6849,6.6995,0min5sec
1040,-5.8771,2.6630,6.6851,0min5sec
1050,-5.8218,2.6415,6.6712,0min5sec
1060,-5.7692,2.6207,6.6560,0min5sec
1070,-5.7189,2.6004,6.6424,0min5sec
1080,-5.6730,2.5815,6.6287,0min5sec
1090,-5.6125,2.5640,6.6150,0min5sec
1100,-5.5719,2.5455,6.6020,0min5sec
1110,-5.5147,2.5282,6.5908,0min5sec
1120,-5.4686,2.5087,6.5758,0min5sec
1130,-5.4230,2.4896,6.5611,0min5sec
1140,-5.3756,2.4716,6.5478,0min5sec
1150,-5.3322,2.4534,6.5332,0min5sec
1160,-5.2864,2.4369,6.5218,0min5sec
1170,-5.2425,2.4195,6.5087,0min5sec
1180,-5.1960,2.4023,6.4957,0min5sec
1190,-5.1532,2.3849,6.4821,0min5sec
1200,-5.1115,2.3681,6.4693,0min5sec
1210,-5.0702,2.3522,6.4581,0min5sec
1220,-5.0300,2.3366,6.4475,0min5sec
1230,-4.9896,2.3211,6.4366,0min5sec
1240,-4.9505,2.3049,6.4241,0min5sec
1250,-4.9106,2.2906,6.4137,0min5sec
1260,-4.8764,2.2762,6.4020,0min5sec
1270,-4.8369,2.2620,6.3920,0min5sec
1280,-4.8009,2.2478,6.3829,0min5sec
1290,-4.7659,2.2334,6.3721,0min5sec
1300,-4.7304,2.2188,6.3609,0min5sec
1310,-4.6977,2.2055,6.3529,0min5sec
1320,-4.6652,2.1919,6.3442,0min5sec
1330,-4.6313,2.1783,6.3342,0min5sec
1340,-4.5973,2.1645,6.3236,0min5sec
1350,-4.5650,2.1507,6.3128,0min5sec
1360,-4.5347,2.1382,6.3033,0min5sec
1370,-4.5021,2.1259,6.2944,0min5sec
1380,-4.4723,2.1138,6.2860,0min5sec
1390,-4.4401,2.1021,6.2790,0min5sec
1400,-4.4110,2.0901,6.2715,0min5sec
1410,-4.3822,2.0784,6.2638,0min5sec
1420,-4.3535,2.0669,6.2565,0min5sec
1430,-4.3243,2.0549,6.2475,0min5sec
1440,-4.2955,2.0427,6.2376,0min5sec
1450,-4.2667,2.0306,6.2280,0min5sec
1460,-4.2445,2.0204,6.2217,0min5sec
1470,-4.2081,2.0129,6.2161,0min5sec
1480,-4.1846,2.0019,6.2074,0min5sec
1490,-4.1568,1.9910,6.2000,0min5sec
1500,-4.1299,1.9798,6.1912,0min5sec
1510,-4.1040,1.9688,6.1818,0min5sec
1520,-4.0782,1.9577,6.1725,0min5sec
1530,-4.0528,1.9469,6.1639,0min5sec
1540,-4.0275,1.9365,6.1560,0min5sec
1550,-4.0028,1.9263,6.1485,0min5sec
1560,-3.9783,1.9159,6.1401,0min5sec
1570,-3.9540,1.9060,6.1332,0min5sec
1580,-3.9310,1.8969,6.1283,0min5sec
1590,-3.9093,1.8878,6.1227,0min5sec
1600,-3.8877,1.8788,6.1175,0min5sec
1610,-3.8640,1.8705,6.1123,0min5sec
1620,-3.8412,1.8611,6.1052,0min5sec
1630,-3.8190,1.8518,6.0979,0min5sec
1640,-3.7971,1.8426,6.0911,0min5sec
1650,-3.7757,1.8339,6.0861,0min5sec
1660,-3.7540,1.8252,6.0800,0min5sec
1670,-3.7331,1.8168,6.0739,0min5sec
1680,-3.7118,1.8080,6.0675,0min5sec
1690,-3.6913,1.7992,6.0608,0min5sec
1700,-3.6696,1.7905,6.0544,0min5sec
1710,-3.6484,1.7818,6.0476,0min5sec
1720,-3.6281,1.7734,6.0412,0min5sec
1730,-3.6061,1.7652,6.0344,0min5sec
1740,-3.5862,1.7567,6.0274,0min5sec
1750,-3.5661,1.7484,6.0208,0min5sec
1760,-3.5463,1.7401,6.0144,0min5sec
1770,-3.5275,1.7321,6.0083,0min5sec
1780,-3.5116,1.7250,6.0039,0min5sec
1790,-3.4976,1.7184,6.0003,0min5sec
1800,-3.4794,1.7108,5.9947,0min5sec
1810,-3.4609,1.7029,5.9884,0min5sec
1820,-3.4428,1.6952,5.9824,0min5sec
1830,-3.4257,1.6883,5.9778,0min5sec
1840,-3.4082,1.6810,5.9724,0min5sec
1850,-3.3909,1.6735,5.9663,0min5sec
1860,-3.3738,1.6662,5.9604,0min5sec
1870,-3.3565,1.6590,5.9551,0min5sec
1880,-3.3396,1.6521,5.9505,0min5sec
1890,-3.3244,1.6461,5.9469,0min5sec
1900,-3.3094,1.6395,5.9422,0min5sec
1910,-3.2928,1.6325,5.9365,0min5sec
1920,-3.2766,1.6256,5.9305,0min5sec
1930,-3.2619,1.6192,5.9257,0min5sec
1940,-3.2484,1.6129,5.9211,0min5sec
1950,-3.2337,1.6063,5.9157,0min5sec
1960,-3.2215,1.6003,5.9113,0min5sec
1970,-3.2071,1.5957,5.9088,0min5sec
1980,-3.1936,1.5897,5.9044,0min5sec
1990,-3.1785,1.5835,5.8995,0min5sec
2000,-3.1640,1.5777,5.8956,0min5sec
2010,-3.1519,1.5730,5.8931,0min5sec
2020,-3.1373,1.5671,5.8887,0min5sec
2030,-3.1246,1.5616,5.8844,0min5sec
2040,-3.1113,1.5559,5.8802,0min5sec
2050,-3.0971,1.5503,5.8761,0min5sec
2060,-3.0826,1.5444,5.8710,0min5sec
2070,-3.0696,1.5385,5.8654,0min5sec
2080,-3.0571,1.5329,5.8603,0min5sec
2090,-3.0430,1.5268,5.8543,0min5sec
2100,-3.0301,1.5209,5.8487,0min5sec
2110,-3.0171,1.5154,5.8435,0min5sec
2120,-3.0035,1.5098,5.8386,0min5sec
2130,-2.9897,1.5044,5.8342,0min5sec
2140,-2.9762,1.4995,5.8303,0min5sec
2150,-2.9635,1.4942,5.8256,0min5sec
2160,-2.9522,1.4890,5.8208,0min5sec
2170,-2.9397,1.4833,5.8152,0min5sec
2180,-2.9271,1.4777,5.8096,0min5sec
2190,-2.9150,1.4725,5.8046,0min5sec
2200,-2.9028,1.4670,5.7992,0min5sec
2210,-2.8909,1.4614,5.7932,0min5sec
2220,-2.8790,1.4559,5.7874,0min5sec
2230,-2.8675,1.4504,5.7816,0min5sec
2240,-2.8555,1.4449,5.7761,0min5sec
2250,-2.8436,1.4394,5.7702,0min5sec
2260,-2.8317,1.4339,5.7642,0min5sec
2270,-2.8198,1.4287,5.7585,0min5sec
2280,-2.8083,1.4234,5.7529,0min5sec
2290,-2.7967,1.4183,5.7473,0min5sec
2300,-2.7855,1.4131,5.7417,0min5sec
2310,-2.7745,1.4079,5.7361,0min5sec
